date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2018-01-01,1000,8,46,8,13,246,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,1.4,85,4,996,84,7,45,5,41,5,41,13,21,5,41
2018-01-01,1100,8,46,9,14,280,W,299,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,2.5,86,6,996,67,7,45,5,41,5,40,13,21,5,40
2018-01-01,1200,8,47,9,14,314,NW,299,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,3.6,87,8,996,51,7,45,5,41,5,40,13,21,5,40
2018-01-01,1300,8,46,12,19,307,NW,299,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,2.4,82,9,997,35,8,46,5,40,4,40,18,29,4,40
2018-01-01,1400,8,46,15,24,300,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,1.2,78,9,999,19,8,46,4,39,4,40,23,37,4,40
2018-01-01,1500,8,46,18,29,293,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,73,10,1000,4,8,47,4,38,4,40,28,44,4,40
2018-01-01,1600,8,46,18,29,291,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,74,10,1001,5,8,46,3,38,4,38,29,46,4,38
2018-01-01,1700,7,45,18,30,290,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1003,6,7,45,3,37,3,37,30,49,3,37
2018-01-01,1800,7,45,19,30,289,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1004,7,7,44,2,36,2,36,32,51,2,36
2018-01-01,1900,7,44,19,30,290,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1005,6,7,44,2,36,2,36,32,51,2,36
2018-01-01,2000,7,44,19,30,291,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1007,4,6,44,2,36,2,36,32,51,2,36
2018-01-01,2100,6,43,19,30,292,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,73,10,1008,3,6,44,2,36,2,35,32,51,2,35
2018-01-01,2200,6,43,18,29,290,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1009,2,6,43,2,36,2,35,30,48,2,35
2018-01-01,2300,6,43,17,27,289,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,76,10,1010,2,6,43,2,36,2,35,29,46,2,35
2018-01-02,0,6,43,16,26,287,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,77,10,1012,2,6,43,2,36,2,35,27,44,2,35
2018-01-02,100,6,43,14,23,281,WNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,79,10,1012,8,6,42,2,36,2,35,24,39,2,35
2018-01-02,200,6,43,12,20,275,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,81,10,1012,15,5,42,2,36,2,35,22,35,2,35
2018-01-02,300,7,44,10,17,270,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,83,10,1012,21,5,41,3,37,2,35,19,31,2,35
2018-01-02,400,7,45,10,15,262,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,83,10,1012,42,5,42,3,37,2,36,18,29,2,36
2018-01-02,500,8,46,9,14,255,WSW,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.0,83,10,1012,63,6,42,3,37,3,37,16,27,3,37
2018-01-02,600,8,47,8,13,248,WSW,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.0,83,10,1012,84,6,43,3,38,3,38,15,24,3,38
2018-01-02,700,9,48,9,15,236,SW,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.0,84,10,1012,89,7,44,4,39,4,39,17,27,4,39
2018-01-02,800,10,49,10,16,224,SW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,84,10,1011,95,7,45,5,41,4,40,18,29,4,40
2018-01-02,900,10,50,11,18,211,SSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,85,10,1010,100,8,46,6,42,5,41,19,31,5,41
2018-01-02,1000,11,51,14,23,210,SSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,87,10,1009,100,9,48,7,44,5,42,23,38,5,42
2018-01-02,1100,11,52,18,28,209,SSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,89,10,1008,100,9,49,8,46,6,43,28,44,6,43
2018-01-02,1200,12,53,21,33,208,SSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,91,10,1007,100,10,50,9,47,6,43,32,51,6,43
2018-01-02,1300,11,52,19,30,224,SW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,89,7,1007,93,10,51,9,48,7,45,29,46,7,45
2018-01-02,1400,11,52,16,26,239,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.3,88,5,1006,85,11,52,9,48,8,47,26,42,8,47
2018-01-02,1500,11,52,14,23,255,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.4,87,2,1005,78,12,53,9,49,9,48,23,37,9,48
2018-01-02,1600,10,51,16,26,245,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.3,87,5,1005,85,11,52,9,48,8,47,26,42,8,47
2018-01-02,1700,10,50,18,29,235,SW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,88,7,1004,93,11,52,9,48,8,46,29,47,8,46
2018-01-02,1800,10,49,20,32,225,SW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,89,10,1003,100,11,51,9,48,7,45,32,52,7,45
2018-01-02,1900,9,49,23,38,226,SW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.5,89,10,1001,100,10,50,10,49,7,45,37,59,7,45
2018-01-02,2000,9,48,27,44,227,SW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,0.9,89,9,999,100,9,49,10,50,7,44,41,67,7,44
2018-01-02,2100,9,47,31,49,229,SW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.4,88,9,997,100,9,47,11,52,7,44,46,74,7,44
2018-01-02,2200,8,47,29,47,240,WSW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,0.9,84,9,996,89,10,49,10,50,7,45,44,71,7,45
2018-01-02,2300,8,46,28,44,250,WSW,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.5,80,10,996,79,11,51,9,48,8,46,42,68,8,46
2018-01-03,0,8,46,26,42,261,W,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.0,76,10,995,68,12,53,8,46,8,47,40,64,8,47
2018-01-03,100,8,46,27,43,264,W,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.6,74,10,995,63,11,52,6,43,7,45,42,67,7,45
2018-01-03,200,8,46,28,44,266,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,1.1,71,10,994,59,10,50,5,41,6,42,43,70,6,42
2018-01-03,300,8,46,28,46,268,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,1.7,69,10,993,55,9,48,3,38,4,40,45,73,4,40
2018-01-03,400,8,47,28,45,271,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,1.1,68,10,994,70,9,47,3,38,4,39,44,71,4,39
2018-01-03,500,8,47,27,44,274,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.6,68,10,995,85,8,47,3,37,3,38,43,69,3,38
2018-01-03,600,9,47,27,43,276,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,68,10,996,100,8,46,2,36,3,38,42,68,3,38
2018-01-03,700,9,48,26,42,277,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,67,10,997,74,8,46,2,36,3,38,42,67,3,38
2018-01-03,800,9,48,26,42,277,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,67,10,998,48,8,46,2,36,3,38,41,66,3,38
2018-01-03,900,9,48,26,41,277,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,67,10,1000,22,8,46,2,36,3,38,41,66,3,38
2018-01-03,1000,9,49,26,42,277,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,66,10,1001,34,8,47,2,36,4,39,40,65,4,39
2018-01-03,1100,9,49,27,43,277,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,64,10,1002,47,9,48,3,37,4,40,40,64,4,40
2018-01-03,1200,10,49,28,44,277,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,63,10,1003,59,10,49,3,37,5,41,39,63,5,41
2018-01-03,1300,9,49,26,42,276,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,64,10,1003,51,9,49,3,37,5,41,38,61,5,41
2018-01-03,1400,9,49,24,39,276,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,65,10,1004,43,9,48,3,37,5,41,36,58,5,41
2018-01-03,1500,9,49,22,36,276,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,65,10,1004,35,9,48,3,37,5,40,34,55,5,40
2018-01-03,1600,9,48,21,33,272,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,68,10,1005,41,9,47,3,37,4,40,32,52,4,40
2018-01-03,1700,9,48,19,30,269,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,70,10,1005,46,8,47,3,38,4,39,30,48,4,39
2018-01-03,1800,9,48,17,27,265,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,73,10,1005,52,8,46,3,38,4,39,28,45,4,39
2018-01-03,1900,9,47,16,26,263,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,73,10,1005,45,7,45,3,38,4,39,27,43,4,39
2018-01-03,2000,8,47,15,25,261,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1005,38,7,45,4,38,4,39,25,40,4,39
2018-01-03,2100,8,47,15,24,260,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,74,10,1004,31,7,44,4,39,4,39,24,38,4,39
2018-01-03,2200,8,47,13,21,258,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,79,10,1004,54,7,45,5,40,4,40,21,34,4,40
2018-01-03,2300,8,46,12,19,255,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,84,10,1003,77,8,46,6,42,5,41,19,30,5,41
2018-01-04,0,8,46,10,17,253,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.1,88,10,1003,100,8,47,6,44,6,42,16,26,6,42
2018-01-04,100,8,47,10,16,245,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.4,90,10,1001,100,8,47,7,44,6,42,16,26,6,42
2018-01-04,200,8,47,10,16,236,WSW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,0.7,91,9,1000,100,8,47,7,44,6,42,16,25,6,42
2018-01-04,300,8,47,10,16,228,SW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.0,93,9,999,100,8,47,7,45,6,42,15,25,6,42
2018-01-04,400,9,48,10,17,232,SW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.7,94,8,998,100,9,48,8,46,6,44,17,27,6,44
2018-01-04,500,10,49,11,17,237,WSW,302,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0034_cloudy_with_heavy_rain_night.png,Moderate rain,2.3,95,8,997,100,10,50,9,48,7,45,18,29,7,45
2018-01-04,600,10,50,11,18,242,WSW,302,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0034_cloudy_with_heavy_rain_night.png,Moderate rain,3.0,96,7,996,100,11,51,10,50,8,47,19,31,8,47
2018-01-04,700,11,51,14,22,246,WSW,302,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0034_cloudy_with_heavy_rain_night.png,Moderate rain,2.2,93,5,996,99,11,52,10,50,9,48,23,37,9,48
2018-01-04,800,11,52,16,26,250,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,1.4,90,4,995,99,12,54,10,51,10,49,27,43,10,49
2018-01-04,900,12,53,19,31,254,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.6,87,2,995,98,13,55,11,51,10,50,30,49,10,50
2018-01-04,1000,12,54,21,34,255,WSW,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.4,84,5,995,95,13,55,10,50,10,49,32,52,10,49
2018-01-04,1100,12,54,23,37,257,WSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.2,80,7,995,91,12,54,9,48,9,48,34,55,9,48
2018-01-04,1200,13,55,25,40,258,WSW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,77,10,995,88,12,53,8,47,9,47,36,58,9,47
2018-01-04,1300,12,54,24,39,262,W,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,76,10,995,86,11,52,7,45,8,46,36,57,8,46
2018-01-04,1400,12,54,24,39,265,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,74,10,996,83,11,51,6,43,7,45,35,57,7,45
2018-01-04,1500,12,53,24,39,269,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,72,10,996,81,10,50,5,42,6,43,35,57,6,43
2018-01-04,1600,11,52,22,35,267,W,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,73,10,997,54,9,49,5,40,5,42,33,53,5,42
2018-01-04,1700,10,50,20,32,265,W,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,73,10,997,27,9,48,4,39,5,41,31,50,5,41
2018-01-04,1800,10,49,18,28,263,W,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,74,10,998,0,8,46,4,38,4,39,29,46,4,39
2018-01-04,1900,9,48,16,26,258,WSW,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,75,10,998,1,8,46,4,38,4,39,26,43,4,39
2018-01-04,2000,8,47,15,24,253,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,76,10,998,1,8,46,4,38,4,39,24,39,4,39
2018-01-04,2100,7,45,13,21,248,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,77,10,998,2,7,45,4,38,4,39,22,36,4,39
2018-01-04,2200,7,45,15,25,242,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,79,10,997,22,8,47,5,41,5,41,25,40,5,41
2018-01-04,2300,7,44,18,28,235,SW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,82,10,996,42,9,48,6,43,6,42,28,45,6,42
2018-01-05,0,6,43,20,32,228,SW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,84,10,995,62,10,50,7,45,6,43,30,49,6,43
2018-01-05,100,6,43,19,30,237,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,80,10,995,47,9,48,6,42,5,42,29,47,5,42
2018-01-05,200,6,43,17,28,245,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,75,10,995,32,8,47,4,40,5,40,28,46,5,40
2018-01-05,300,6,44,16,26,253,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,71,10,995,17,8,46,3,37,4,39,27,44,4,39
2018-01-05,400,7,44,16,25,249,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,70,10,995,29,8,46,3,37,4,39,27,43,4,39
2018-01-05,500,7,45,15,24,245,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,70,10,994,41,8,46,3,37,4,39,26,42,4,39
2018-01-05,600,7,45,15,24,240,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,70,10,994,52,8,46,3,37,4,39,25,41,4,39
2018-01-05,700,8,46,15,24,240,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,70,10,994,52,8,46,2,36,4,39,25,41,4,39
2018-01-05,800,8,46,15,24,239,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,70,10,994,51,7,45,2,36,4,39,25,40,4,39
2018-01-05,900,8,47,15,24,238,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,70,10,993,51,7,45,2,36,4,38,25,40,4,38
2018-01-05,1000,8,47,16,27,242,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,68,10,994,57,8,46,2,36,4,39,25,40,4,39
2018-01-05,1100,9,48,18,29,245,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,66,10,994,64,8,47,3,37,5,40,25,40,5,40
2018-01-05,1200,9,48,19,31,248,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,64,10,994,70,9,48,3,37,5,41,25,40,5,41
2018-01-05,1300,9,47,16,26,252,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,67,10,995,76,9,47,3,37,5,41,22,35,5,41
2018-01-05,1400,8,47,13,22,255,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,69,10,995,81,8,47,3,37,5,41,19,30,5,41
2018-01-05,1500,8,46,11,17,258,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,71,10,995,87,8,46,3,38,5,41,15,25,5,41
2018-01-05,1600,7,45,9,14,257,WSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,74,10,996,76,7,45,3,37,5,41,13,21,5,41
2018-01-05,1700,7,44,7,11,256,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,76,10,996,65,7,44,3,37,5,41,11,18,5,41
2018-01-05,1800,6,42,5,8,255,WSW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,79,10,997,55,6,43,3,37,5,40,9,14,5,40
2018-01-05,1900,5,41,4,6,266,W,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.1,80,10,997,60,6,43,3,37,5,41,6,10,5,41
2018-01-05,2000,5,40,2,4,276,W,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.1,80,10,998,66,6,43,3,37,5,42,4,6,5,42
2018-01-05,2100,4,39,1,1,287,WNW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.2,81,10,998,72,6,43,3,37,6,43,2,3,6,43
2018-01-05,2200,3,38,1,2,224,SW,353,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Light rain shower,0.1,81,10,999,71,6,43,3,37,6,43,2,3,6,43
2018-01-05,2300,3,37,1,2,161,SSE,119,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Cloudy,0.1,82,10,999,70,6,43,3,38,6,43,2,4,6,43
